Environmental,Key Medium,Indicator,Details,Source,Number
Environmental,Air,Particulate matter 2.5 (PM 2.5),Annual average PM2.5 levels in air,"EPA's Office of Air and Radiation, fusion of modeled and monitored data",2020
Environmental,Air,Ozone,Average of the annual top ten daily maximum 8-hour ozone concentrations in air,"EPA's Office of Air and Radiation, fusion of modeled and monitored data",2020
Environmental,Air,Nitrogen Dioxide (NO2),Average annual nitrogen dioxide (NO2) levels expressed as part per billion (by volume).,NASA's Health and Air Quality Applied Sciences Team (HAQAST),2020
Environmental,Air,Diesel particulate matter,Diesel particulate matter level in air,EPA Hazardous Air Pollutants,2020
Environmental,Air,Toxic Releases to Air,RSEI modeled toxicity-weighted concentrations in air of TRI listed chemicals.,"Calculated from 2021 Risk-Screening Environmental Indicators (RSEI) Geographic Microdata results for the air pathway, retrieved 5/16/2023",2021
Environmental,Air/other,Traffic proximity and volume,"Count of vehicles (AADT, avg. annual daily traffic) at major roads within 500 meters, divided by distance in meters (not km)","Calculated from 2020 U.S. Department of Transportation traffic data, retrieved 1/19/2023",2020
Environmental,Dust/ lead paint,Lead paint,"Percent of housing units built pre-1960, as indicator of potential lead paint exposure","Calculated based on Census/American Community Survey (ACS) data, retrieved 12/16/2023",2018-2022
Environmental,Waste/ air/ water,Superfund proximity,"Count of proposed or listed NPL - also known as superfund - sites within 5 km (or nearest one within 10 km), each divided by distance in kilometers",Calculated from EPA Superfund NPL boundaries and site (Final and Proposed) plus Superfund Alternative Approach (SAA) boundaries and sites 2/26/2024,2024
Environmental,Waste/ air/ water,Risk management plan (RMP) facility proximity,"Count of RMP (potential chemical accident management plan) facilities within 5 km (or nearest one within 10 km), each divided by distance in kilometers","Calculated from EPA RMP database, retrieved 2/26/2024",2024
Environmental,Waste/ air/ water,Hazardous waste proximity,"Count of hazardous waste facilities (TSDFs and LQGs) within 5 km (or nearest within 10 km), each divided by distance in kilometers","TSDF data calculated from EPA RCRAInfo database, retrieved 1/31/2024",2024
Environmental,Waste/ air/ water,Underground storage tanks (UST) and leaking UST (LUST),"Count of LUSTs (multiplied by a factor of 7.7) and the number of USTs within a 1,500-foot buffered block group","Calculated from EPA UST Finder, retrieved 2/2/2023",2023
Environmental,Water,Wastewater discharge,"RSEI modeled toxic concentrations at stream segments within 500 meters, divided by distance in kilometers (km)","Calculated from RSEI modeled toxic concentrations to stream reach segments, created 12/27/2023",2021
Environmental,Water,Drinking water non-compliance,Score based on number of Safe Drinking Water Act violations not returned to compliance that community water systems have received over the past five years; violations are weighted based on age and severity,Calculated from Safe Drinking Water Information System (2023 quarter 4 data) and Safe Drinking Water Act Public Water System Supervision Program's Enforcement Response Policy,2023
Socioeconomic,,People of color,"The percent of individuals in a block group who list their racial status as a race other than white alone and/or list their ethnicity as Hispanic or Latino. That is, all people other than non-Hispanic white-alone individuals. The word ""alone"" in this case indicates that the person is of a single race, not multiracial.",,
Socioeconomic,,Low-income,"The percent of a block group's population in households where the household income is less than or equal to twice the federal ""poverty level.""",,
Socioeconomic,,Unemployment rate,"The percent of a block group's population that did not have a job at all during the reporting period, made at least one specific active effort to find a job during the prior 4 weeks, and were available for work (unless temporarily ill).",,
