OBJECTID,Join_Count,TARGET_FID,JOIN_FID,US EPA Region,RegionString,Announcement Date,Award Date,Project Title,Project Description,Recipient,Funding Source,Type of Award,Funding Status,Federal Award Identification Number,Award Amount,Location,Latitude,Longitude,Zip Code,City,County,State,Assistance Listing, Program,Investment Category,Website Url,Announcement Url,Data Extract Date,Shape__Area,Shape__Length
1,1,1,102,04,04,,12-27-2024,Resource for Assistance and Community Training,"This action provides funding in the amount of $3,000,000 for Research Triangle Institute (RTI) to provide meaningful engagement to underserved communities in the southeast region of the United States (Region 4  The activities to be performed under this grant include identifying environmental and energy justice issues, including geographical analyses using GIS, air and water quality monitoring, personal exposure analyses, climate resilience analyses, and energy policy impact assessments. Additional activities to be performed under this grant are to assist program participants with navigating government systems, identifying grant opportunities, applying for grants, and managing grants. The anticipated deliverables include documentation from outreach efforts undertaken, descriptions of services provided, number of program participants, tools developed, reports on feedback from program participants, program evaluations, number of improvements made to an Environmental Justice Thriving Communities Technical Assistance Centers (EJ TCTAC), and the number of clean energy demonstration opportunities identified. The expected outcomes include increased awareness, knowledge and understanding of grant among underserved communities, increased access to grant writing and management resources, and an increase to the number and quality of applications for funding related to environmental and energy justice from underserved communities in the Southeast Region. The intended beneficiaries include communities throughout each of the Region 4 States: (AL, FL, GA, KY, MS, NC, SC, TN  The outcomes of this project will include the increased grant writing capacity, increased community engagement, and increased produce yielded from the garden to benefit the underserved communities in the Jackson, Mississippi area. 
The Inflation Reduction Act (IRA) technical assistance (TA) funds issued to the enter name of TCTAC are specifically for the EJ TCTAC to coordinate and collaborate with the Environmental Justice Thriving Communities Grantmaking program recipients (Grantmakers) and/or provide additional technical assistance and support to applicants and subgrantee recipients funded through the Grantmaker program. The Grantmakers are considered Technical Assistance providers, who provide funding as well as technical assistance to applicants and subgrantee recipients addressing environmental concerns of disadvantaged communities. Per the EJ TCTAC Request for Applications (RFA), Funding Opportunity Number EPA-I-OP-OEJ-22-02, the EJ TCTACs are expected to coordinate with other Technical Assistance providers over the project period.

Activities:
The activities to be performed under this grant include identifying environmental and energy justice issues, including geographical analyses using GIS, air and water quality monitoring, personal exposure analyses, climate resilience analyses, and energy policy impact assessments. Additional activities to be performed under this grant are to assist program participants with navigating government systems, identifying grant opportunities, applying for grants, and managing grants. RTI will facilitate community engagement and partnership building to address environmental and energy justice issues. RTI will provide translation and interpretation services with respect to grant program awareness and application, award, and management processes to provide program participants a meaningful opportunity to participate in environmental and energy justice efforts. RTI will facilitate formal hands-on training to build capacity, including strengthening human capital to focus on environmental justice and energy justice issues and fostering third-party  and ldquo;community champions and rdquo; (e.g., community advocates and volunteer leaders) to engage in decision-making process so they will be in a strengthened position to participate in environmental and energy justice programs and address related challenges.


Outcomes:
The",RESEARCH TRIANGLE INSTITUTE,IRA,Primary,Awarded,13746193,3000000,North Carolina,35.526035,-79.13088,,,,NC,66.309,Supplemental Funding for Thriving Communities Technical Assistance Centers (TCTACs) to coordinate and collaborate with the EJ Thriving Communities Grantmakers and/or provide technical assistance to applicants and subgrantee recipients of Grantmaker program.,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-technical-assistance-centers,,01-31-2025,100.457816930121,78.6653917324571
2,1,1,107,04,04,,07-16-2024,Research Triangle Institute (RTI) - Grantmaker - Initial Award,"The purpose of the Environmental Protection Agency s (EPA) Thriving Communities Grantmaking Program ( EJ TCGM ) is to transform disadvantaged and underserved communities into healthy, thriving places that can address the health and environmental challenges they face now and into the future.  and nbsp;EPA will do this by using a pass-through model to distribute grant funds to communities via multiple Grantmakers serving communities across the nation. Research Triangle Institute (RTI) International has been selected to serve as the EPA Region 4 and National-Central Grantmaker providing support to communities across EPA Regions 4-7, with a dedicated focus on EPA Region 7. RTI s diverse team brings expertise in grant management, environmental science, environmental justice, equity and #8208;centered research and evaluation.  and nbsp;RTI s proposed solution advances racial equity by positioning community members, as part of a Community Advisory Board (CAB), as decision makers in selecting sub awardees and subgrantees. RTI s process includes targeted outreach and recruitment strategies inclusive and accessible to potential applicants in various modalities, and culturally appropriate to reach communities. RTI International will support the infrastructure to quickly launch an applications intake, review, and award process that is significantly simplified from current federal grants processes. RTI International will receive an initial award of $25,000,000 of Inflation Reduction Act (IRA) funding to stand-up the infrastructure to support communities directly, as well as support the Regional Grantmakers in the Central Regions and the EJ TCGM network as a whole.  and nbsp;Once the infrastructure is established, RTI International will receive a subsequent award of $75,000,000 to implement subgranting programs in EPA Regions 4 and EPA Regions 7, as well as to provide support to the EJ TCGM network as a whole.  and nbsp;This bifurcated awards process is being implemented by EPA to ensure that the Grantmakers have sufficient time to establish the necessary grantmaking infrastructure before beginning to issue subgrants. The EJ TCGM program is a key lever to advance environmental justice and improve public health in communities across the central regions while ensuring that community members can shape the process.

Activities:
RTI International and its partners will come together to serve as the Region 4 and National-Central Grantmakers. Activities to be performed during this project are:

1) RTI will work, in consultation with EPA regional leaders and community representatives, to identify and engage three (3) new statutory partners located within Region 7 to ensure TCGM provides direct support to communities within the region. 

2) RTI International will implement the community-engaged transformative governance model to support the type of decision-making that acknowledges that community organizations have the authority to define success for their projects, decide on the type of interventions they most need, and contribute to the grantmaking process. The community advisory boards (CABs) are the cornerstone of the program. While applications will be accepted on a rolling basis, CABs will meet to make funding decisions on a quarterly basis. They are also charged with guiding the program implementation within the regions.  In consultation with EPA regional leaders, TCGM partners, and community member input, RTI will develop selection criteria to select Community Advisory Board (CAB) members. RTI will work closely to ensure that selection for CAB members considers contextual equity considerations so that the TCGM program can serve those communities that it is intended to benefit. 

3) The Communications  and amp; Outreach team will develop outreach strategies that include both direct in-person outreach and indirect communication channels for the complete life cycle of the grant program. For Region 4 and Region 7, the Communications and Outreach t",RESEARCH TRIANGLE INSTITUTE,IRA,Primary,Awarded,84084101,25000000,"Research Triangle Park, NC",35.906235,-78.86136,27709,Research Triangle Park,,NC,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,100.457816930121,78.6653917324571
3,1,1,250,04,04,,01-08-2025,RTI Thriving Communities Grantmaker: Subsequent Award,"Research Triangle institute (RTI) will utilize the Subsequent Award totaling $95,000,000 in EJ TCGM funding to serve as one of eleven Grantmaker organizations that are charged with implementing the program. RTI will serve in the capacity of a National Grantmaker (Central Regions) as well as the provision of direct assistance to Regions 4 and Region 7.  RTI will implement and deploy federal financial assistance to instill resilience to underserved communities inclusive of Regions 4, 5, 6 and 7.

This funding is the latter half of the bifurcated award that will be used for passthrough grantmaking activities authorized under CAA 138(b  The RTI National Grantmaker (Central Regions) will be funded by the Inflation Reduction Act (IRA) appropriations at the level totaling $120 million and divided into two awards. The Initial Award of $25 million was made in August 2024 and the subsequent award of $95 million is slated for December 2024. The bifurcated award is sourced from the same funding but will maintain separate but overlapping timelines to meet the overall components of the award. The Subsequent Award includes award competition, selection and distribution of funds, capacity building and technical assistance for Regional Grantmakers and subrecipients, participatory governance and outreach efforts that will support the regional Grantmakers in 4,5,6, and 7 as well as addressing coverage gaps that they may have difficulty reaching. Gaps include, but is not limited to, remote and/or rural areas of the U.S. Territories and parts of the contiguous United States. 

OEJECR has also provided additional within-scope supplemental funding for each Grantmaker to address  Quality Assurance (QA), Human Subjects Review (HSR), as well as provide funding for additional meaningful outreach and gap filling to remote, rural and hard-to-reach areas of the country, and territories that must be adjusted due to elevated travel costs. Supplemental funds total  $20M of the $95 million and will be used to support the successful distribution and completion projects funded under the subawards.
It should be noted that the Initial Award enabled the Grantmaker to perform the tasks needed to plan and implement proposed participatory governance, outreach, and system mobilization efforts that established the criteria for the collection, review, selection, and distribution of the EJ Thriving Communities Subawards. The pass-through model developed by EPA is central to the new approach, as it  allows the Grantmakers to distribute smaller subawards to community-based organizations (CBOs) more efficiently than the traditional federal grants process. This model will endeavor to ensure that underserved communities can access funds more quickly and with fewer administrative burdens. The work previously conducted under the Environmental Justice Small Grants program will be managed by Grantmakers while allowing EPA to focus on assessment, planning, and project development.

RTI has extensive experience in grantmaking and providing technical support for equity-centered approaches that build collaborative environmentally based outcomes and will endeavor to ensure that EPA funds under the Thriving Community Grantmaker Program are managed and distributed to communities that are most in need of addressing health and environmental challenges. By increasing funding access and reducing administrative barriers, the EPA aims to empower disadvantaged communities to address long-standing environmental justice challenges. This approach aligns with the goals of Executive Orders 13985 and 14008, which prioritize equitable access to federal resources and emphasizes the need for inclusive decision-making processes that advance environmental justice nationwide.   


Activities:
As it relates to EPA Region 4, RTI will partner with the Southern Environmental Law Center (SELC), National Center for Healthy Housing, International City/County Housing, International City/Co",RESEARCH TRIANGLE INSTITUTE,IRA,Primary,Awarded,84084201,95000000,North Carolina,35.906235,-78.86136,27709,Research Triangle Park,,NC,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,100.457816930121,78.6653917324571
4,1,2,44,10,10,,01-10-2025,Northwestern Environmental and Energy Justice TCTAC,"The agreement provides funding to Willamette Partnership. The recipient will engage with underserved and rural communities across the Northwest United States to build capacity pertaining to environmental and energy justice issues; provide direct technical assistance to communities and organizations; establish a community of practice focused on cohort learning and leadership development; and practice ethical storytelling and accountability when working with communities across the region. The Inflation Reduction Act (IRA) technical assistance (TA) funds issued to Willamette Partnership are specifically for the EJ TCTAC to coordinate and collaborate with the EJ Thriving Communities Grantmaking program recipients (Grantmakers) and/or provide additional technical assistance and support to applicants and subgrantee recipients funded through the Grantmaker program. The Grantmakers are considered Technical Assistance providers, who provide funding as well as technical assistance to applicants and subgrantee recipients addressing environmental concerns of disadvantaged communities. Per the EJ TCTAC Request for Applications (RFA), Funding Opportunity Number EPA-I-OP-OEJ-22 02, the EJ TCTACs are expected to coordinate with other Technical Assistance providers over the project period. 

Activities:
The activities include creating the Thriving Communities Technical Assistance Center (TCTAC) website and associated social media; creating a translation and interpretation plan; creating a technical assistance intake system; creating technical assistance materials; establishing a community engagement plan; creating community engagement materials; conducting direct technical assistance; and developing cohort learning templates. 

Outcomes:
The anticipated deliverables include an established TCTAC website and associated social media; a completed translation and interpretation plan; a technical assistance intake system; technical assistance materials;  a community engagement plan; community engagement materials; direct technical assistance; and cohort learning templates. The expected outcomes include strengthening of partnerships to address environmental justice opportunities and improvement in trust amongst communities, government, the private sector, and others. The intended beneficiaries include underserved communities where environmental, health, and economic burdens and capacity constraints co-occur, including Tribal and Indigenous communities, Black, Latinx, immigrant, and disabilities communities, especially those in remote and rural areas. 




Subrecipient:
Activities to be implemented by sub-awards include: facilitating community engagement activities; organizing technical assistance intake; creating technical assistance materials; assisting with direct technical assistance; supporting cohort learning; and leading a landscape scan to identify community engagement in Alaska.",WILLAMETTE PARTNERSHIP,IRA,Primary,Awarded,02J28701,3000000,Oregon,43.940453,-120.605255,,,,OR,66.309,Supplemental Funding for Thriving Communities Technical Assistance Centers (TCTACs) to coordinate and collaborate with the EJ Thriving Communities Grantmakers and/or provide technical assistance to applicants and subgrantee recipients of Grantmaker program.,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-technical-assistance-centers,,01-31-2025,389.142325244278,298.966264998991
5,1,2,119,10,10,,12-20-2024,Northwest Network for Environmental Justice-Subsequent Award,"OEJECR is providing within-scope supplemental funding to address additional Quality Assurance (QA) costs as well as provide funding for additional meaningful outreach and gap filling in remote, rural and hard-to-reach areas of the country, and territories with $2 Million in supplemental funds. Additionally, $8 Million of  supplemental funding will be distributed via additional subgrants for a total of $10 million of supplemental funding being provided to your Grantmaker for this work. 

Activities:
The activities in the Subsequent Award Phase include distribution and tracking of the Environmental Justice Thriving Communities Subgrants to eligible subrecipients, program evaluation, and grant close-out. The subsequent award will cover the eight months of program management following the end of the initial award which includes personnel, grant management systems, and travel. The supplemental funds will be used for quality assurance compliance costs and meaningful outreach to remote, rural, and hard-to-reach areas. Prior to distribution of subgrants Philanthropy Northwest will have established policies, including conflict of interest and cap amount award policies, have an approved quality management plan and quality assurance processes in place, and have financial and grant management systems in place. 

Outcomes:
The anticipated deliverables for the subsequent award only, include the distribution of over 200 Environmental Justice Thriving Communities Subgrants over 3 years. There will be an estimated 55 Tier 1 grants, 77 Tier 2 grants, and 43 Tier 3 grants awarded plus 72 fixed amount awards to severely capacity constrained entities. The expected outcomes include equitable distribution of subgrants to disadvantaged communities. The majority of the outcomes will be dependent on the subgrants funded but will increase environmental and community health in disadvantaged communities. The intended beneficiaries include disadvantaged communities as defined by the U.S. EPA Inflation Reduction Act (IRA) Disadvantaged Communities Map in Region 10. 



Subrecipient:
The subawards to the Affiliated Tribes of Northwest Indians (ATNI) and Native Americans in Philanthropy (NAP) will be used to support technical assistance to Philanthropy Northwest and rsquo;s program officers and grant administrators on culturally specific practices and protocols as they advise and assist with needs related to close-out activities. 
The remainder of subawards will be distributed to eligible subrecipients of the Thriving Communities Subgrants which will cover a variety of projects that include but are not limited to: air quality, water quality, small cleanup projects, improving food access, stormwater issues, green infrastructure, lead contamination, pesticides, emergency preparedness and disaster resiliency, environmental job training, and environmental justice training for youth.",PHILANTHROPY NORTHWEST,IRA,Primary,Awarded,02J63901,52000000,Washington,47.411617,-120.59282,,,,WA,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,389.142325244278,298.966264998991
6,1,2,174,10,10,,01-08-2025,Pacific Northwest Environmental Justice Thriving Communities Center,"The agreement provides funding to the University of Washington. Specifically, the recipient will provide technical assistance (TA) services to Region 10 program participants that will strengthen their capacity and effectiveness in applying to and successfully managing environmental and energy justice (EEJ) grants and programs.

The Inflation Reduction Act (IRA) technical assistance (TA) funds issued to the University of Washington are specifically for the EJ TCTAC to coordinate and collaborate with the EJ Thriving Communities Grantmaking program recipients (Grantmakers) and/or provide additional technical assistance and support to applicants and subgrantee recipients funded through the Grantmaker program. The Grantmakers are considered Technical Assistance providers, who provide funding as well as technical assistance to applicants and subgrantee recipients addressing environmental concerns of disadvantaged communities. Per the EJ TCTAC Request for Applications (RFA), Funding Opportunity Number EPA-I-OP-OEJ-22-02, the EJ TCTACs are expected to coordinate with other Technical Assistance providers over the project period.

Activities:
The activities include online/in-person outreach and engagement with regional participants, establishment of funded partnerships to foster community leadership, hosting of workshops and trainings, and consultations with center-affiliated faculty and students. The center will provide program participants with assistance in (1) conducting environmental justice analyses and needs assessments, (2) identifying, applying for, and managing EEJ grants and programs, (3) facilitating meaningful engagement with other EEJ stakeholders and decision-makers, (4) building capacity to strengthen and focus their work on EEJ issues, and (5) fostering community leadership in EEJ solutions.

Outcomes:
The anticipated deliverables include creating a website, the number of program participants and partnerships, documented outreach efforts, utilization of services, evaluation reports from Advisory Board and program participants. The expected outcomes include program participants and rsquo; increased capacity and effectiveness in applying for environmental/energy justice opportunities, increased participation in defining technical service needs and offerings for the region, and successful development, implementation, and continuation of environmental and energy justice programs led by PNW-EJTC program partners. The intended beneficiaries include tribal, rural, remote, and other underserved areas across Region 10.

Subrecipient:
Smaller subawards will allow for a part time FTE staff member within their organization to focus on engaging with the center to receive TA and their organization and rsquo;s project related expenses, while medium subawards will allow for organization committing full time FTE staff member to receive TA. Larger subawards will allow for funding of larger consortia partners as described above to fund their staff and/or member organizations to receive TA from the center. The larger subawards may also include outreach in their role as a center partner, to amply the reach of the TCTAC to others in the region through word of mouth, collaborative networks, and connections between organizations that trust each other. The scope of each subaward and allowable expenses will be negotiated with each individual partner.",UNIVERSITY OF WASHINGTON,IRA,Primary,Awarded,02J28601,3000000,Washington,47.411617,-120.59282,,,Chelan County,WA,66.309,Supplemental Funding for Thriving Communities Technical Assistance Centers (TCTACs) to coordinate and collaborate with the EJ Thriving Communities Grantmakers and/or provide technical assistance to applicants and subgrantee recipients of Grantmaker program.,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-technical-assistance-centers,,01-31-2025,389.142325244278,298.966264998991
7,1,2,181,10,10,,06-14-2024,Northwest Network for Environmental Justice-Initial Award,"This agreement provides funding under the Inflation Reduction Act (IRA) to Philanthropy Northwest (PNW) as a Regional Grantmaker.  The recipient, along with partners, will use the initial award to establish and support the accessibility and equitable distribution of Environmental Justice Thriving Communities resources to historically underserved communities to improve environmental and community health and wellbeing through a pass-through subgrant program. Woven throughout the structure is a deliberate and intentional process to center community members in decision-making. During the project period, PNW s participatory governance approach will convene three groups: the Advisory Group, the Task Force and Peer Review Group, comprised of partners and community members. These groups will guide overall program development and implementation, help design applications and scoring rubrics, establish metrics for project outcomes, and evaluate applications. PNW will undertake strategic, targeted, and intentional outreach to ensure potential applicants throughout Region 10 are aware of the funding opportunity and encouraged to apply. The outreach strategy will include in-person events, webinars, a partner outreach toolkit, paid digital advertising, and regional-specific messaging. Additionally, four main systems will be used to support the efficient and effective grant award, disbursement, tracking, adjustment, and full expenditure: an easy-to-use grant application platform, a customized project and grants management system, and accounting software for financial management. PNW and rsquo;s plan for EPA and rsquo;s Environmental Justice Thriving Communities Grantmaking Program is anchored in PNW and rsquo;s core goal to disburse program funds expeditiously and equitably through the design and implementation of a simplified grantmaking process that: centers community voice and participatory grantmaking; leverages the knowledge and relationships of our partners; and addresses environmental justice issues for communities most in need.

Activities:
The activities in the Initial Award Phase include the following: recruit members and convene meetings of the Advisory Board, Task Force, and Peer Review group; co-design the grantmaking program including the application, evaluation criteria, and metrics; develop outreach strategy; launch project website; implement outreach activities such as in-person events, webinars, messaging toolkit, and media placements; establish project management tools including application portal, grants management system, and financial management system; establish a process for quality assurance project management with EPA regional office; develop and offer trainings for reviewers and subgrantees; provide technical assistance to applicants and subgrantees. 

Outcomes:
The anticipated deliverables include established Advisory Board, Task Force, and Peer Review group comprised of partners and community members; project website; an outreach toolkit; simplified grant application; customized grants management system; established financial management system; developed financial management and data reporting training for subgrantees. 

The expected outcomes include a grantmaking process established with participatory governance and an accessible grantmaking process. 

The intended beneficiaries include historically underserved communities in Region 10 which includes Alaska, Idaho, Oregon, Washington, and 271 Tribal Nations. 



Subrecipient:
This award will include subawards to three different entities. The subawards will support the design of the grantmaking program,  expertise on data sovereignty for Tribal communities, outreach and communications to Tribal communities and other partners about the program, application review, access to a application platform, application reviewer scoring tool, technical assistance with the application, grants management including the review process, reporting requirements, and",PHILANTHROPY NORTHWEST,IRA,Primary,Awarded,02J63801,8000000,Oregon,43.940453,-120.605255,,,,OR,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,389.142325244278,298.966264998991
8,1,3,39,06,06,,06-25-2024,Texas Southern University Bullard Center Environmental Justice Thriving Communities Grant,"This agreement provides an initial funding of $4,917,247 to Texas Southern University under the Inflation Reduction Act (IRA  Texas Southern University will act as the Regional Grantmaker (RGM), in collaboration with Achieving Community Tasks Successfully (ACTS), for grantmaking activities. The total funding for Texas Southern University will be $50,000,000, split into two awards of an initial and subsequent grant. Both awards will be derived from the same funding source and will have separate yet overlapping timelines. The initial grant funds will allow the Regional Grantmaker to establish and carry out the proposed participatory governance, outreach, and system mobilization efforts. The aim is to establish the collection, review, selection, and distribution of the Environmental Justice Thriving Communities Subgrants. The technical support will be customized to each assistance request, developing robust and transparent structures. Texas Southern University will assist Community-Based Organizations (CBOs) and community leaders in establishing structures to ensure that incoming financial resources are distributed with equity and transparency. The proposed governance and accountability measures will be shared among the stakeholders to ensure transparency in the distribution of funds.







Activities:
The project activities during the Initial Award Phase include the establishment of hubs with two Historically Black Colleges and Universities (HBCUs) that will serve as a central point for community access to the grant-making program. A new Advisory Committee will be developed to oversee the grant-making program s design and operation. Guidelines and protocols will be established for reviewing subrecipient applications, providing technical support before and after funding awards, and collecting reports from subrecipients. Experienced vendors will be contracted to create a user-friendly process for submitting grants, managing the distribution of funding awards, and collecting reporting submissions. Furthermore, a consultant with extensive experience in program evaluation will be hired to develop and implement a process and outcome evaluation plan focused on overall efficacy and a plan for soliciting feedback from funded and potential applicants. This comprehensive approach aims to ensure the effective and efficient management of the grant-making program.












Outcomes:
The project anticipated deliverables include a multilingual website/landing page, and quarterly bilingual emails (in English and Spanish) which will be sent quarterly to the networks of Texas Southern University. Paid contractors/experts will use their methodology to distribute emails and hard copy materials throughout tribal nations. A webinar will also be hosted on a virtual platform that provides translation into multiple languages to advertise the availability of the funding opportunities. Additionally, in-person presentations and printed materials about the subaward opportunities will be incorporated at conferences, events at tribal nations, and community meetings. Three proposal preparation trainings will be held, each six months apart, during the first 1.5 years of the grantmaking program, to support organizations in preparing their proposals. The expected outcomes include an increase in knowledge about the grantmaking program among participants, which will enable them to assess whether their project may align with the funding criteria. Tools will be utilized by tribal consultants, tribal entities, Historically Black Colleges and Universities, and partner Community Based Organizations to reach eligible sub-recipients in the 66 tribal nations. The solicitation will receive a diverse set of applications that comprehensively represent Region 6 in terms of geography, language, culture and tribal nations. The intended beneficiaries of this program are Community Based Organizations (CBOs) in Arkansas, Louisiana, New Mexic",TEXAS SOUTHERN UNIVERSITY,IRA,Primary,Awarded,02F5550A,4917247,"Houston, TX",29.786009,-95.388565,,Houston,,TX,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,141.34496945255,81.5349027688873
9,1,3,157,06,06,,12-18-2024,EJ-TCGM Subsequent Award - Region 6 The Bullard Center for Environmental and Climate Justice at Texas Southern University,"This agreement provides funding under the Inflation Reduction Act (IRA) to Texas Southern University. The recipient is a Regional Grantmaker (RGM), in collaboration with Achieving Community Tasks Successfully (ACTS), for the subsequent award grantmaking activities. The Grantmaker program will distribute $51,682,500 in subawards. An Advisory Committee will make the final determination of how many of each type of award (Tier I, II, or III, plus noncompetitive subawards) will be distributed. Additionally, Texas Southern University will develop a system that requires all funded subrecipients to provide progress reports for each 6-month period of funding.  Guidance including detailed information on what should be included in the progress report will be developed by the Advisory Committee and provided in English and Spanish and other languages as requested.  For subrecipients that have limited access to the internet, a paper version of the progress report will be accepted via email or mail.  Challenges noted in the progress reporting will be reviewed by the Program Manager, discussed with members of the Advisory Committee, and referred to EPA as soon as possible if needed. Each subrecipient will be informed of the required subrecipient progress report due dates and provided instructions on how to submit via the grant platform secured for the Regional Grantmaker program. The purpose of this award is to fund the subsequent award for the pass-through entity Texas Southern University. Two hundred ninety-six (296) grant applications will be awarded during the three-year project period that will consist of three grant cycles annually during years 1-3. 

An outside independent evaluator will be secured to develop and oversee an ongoing evaluation plan focused on soliciting feedback from potential applicants and awarded subrecipient to assess (1) the usefulness of shared grant application information, (2) disseminate stories from applicants on environmental or climate justice concerns and how they stand to benefit from the funding, (3) program improvement with applicant assessment feedback, and (4) increased knowledge of applicants to determine whether their projects align with the funding criteria. Evaluation will also focus on capacity built among EJ frontline organizations, the perception of changes achieved by subrecipients, particularly in underserved, disadvantaged and/or remote communities, and successes and lessons learned. A semi-annual review of collected data will be completed by the advisory committee in January and June annually, and an annual retreat will be held in Summer 2025 and 2026 to plan the upcoming year and rsquo;s grant program implementation.  An annual report of program deliverables will be available in Fall 2025 and 2026, and the final report including success stories will be available in Summer 2027.



Activities:
The activities in the Subsequent Award Phase include: Texas Southern University has hired various program staff who will oversee the program and rsquo;s operation and provide general project management and oversight of project implementation and evaluation; coordinate the advisory committee and proposed review teams; conduct outreach with state hubs and community-based organizations and translation services; serve as initial point of contact for eligible subrecipients through the application process and to awardees for reporting requirements. A conflict-of-interest plan has been created to ensure reviewers have completed the form and approved to participated in any upcoming grant application cycles.  An online grant application portal, dedicated to the grantmaker program, has been created for eligible subrecipients to apply for funding. A reviewer database has also been developed to include potential reviewers by area of expertise and community; the review criteria will be examined and approved by the advisory committee.

The Bullard Center and rsquo;s Program Manager and the Financial Admin",TEXAS SOUTHERN UNIVERSITY,IRA,Primary,Awarded,02F5550B,55082753,"Houston, TX",29.786009,-95.388565,,Houston,,TX,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,141.34496945255,81.5349027688873
10,1,3,211,06,06,,12-27-2024,Community Investment Recovery Center (CIRC): A U.S. EPA Environmental Justice Thriving Communities Technical Assistance Center (TCTAC),"This action approves an award in the amount of $3,000,000 to the Deep South Center for Environmental Justice (DSCEJ), in Louisiana.
The Inflation Reduction Act (IRA) technical assistance (TA) funds issued to the enter name of TCTAC are specifically for the EJ TCTAC to coordinate and collaborate with the Environmental Justice Thriving Communities Grantmaking program recipients (Grantmakers) and/or provide additional technical assistance and support to applicants and subgrantee recipients funded through the Grantmaker program. The Grantmakers are considered Technical Assistance providers, who provide funding as well as technical assistance to applicants and subgrantee recipients addressing environmental concerns of disadvantaged communities. Per the EJ TCTAC Request for Applications (RFA), Funding Opportunity Number EPA-I-OP-OEJ-22-02, the EJ TCTACs are expected to coordinate with other Technical Assistance providers over the project period.

Activities:
The activities to be performed include, consulting with other Community Based Organizations (CBOs) to learn about the history of their communities and the capabilities of their organizations. The recipient will also and nbsp;build organizational capacities of least 250 CBOs in underserved communities within the Environmental Protection Agency s (EPA) Regions 4 and 6. and nbsp;Through the provision of direct services, DSCEJ will assist the CBOs in and nbsp;building their capacities for research and community engagement while also assisting them in applying for several different grants from the EPA, the Department of Energy (DOE), and other agencies. The reach and and nbsp;impact of the Community Investment and Recovery Center (CIRC) will be increased in an effort and nbsp;to sustain capacity-building services beyond the 5-year performance period of this grant.

Outcomes:
The anticipated deliverables include organizational development, identifying and prioritizing needs, providing education on priority environmental issues (air quality, soil contamination, clean energy, etc.), creating community profiles using data and mapping, relationship building, and training and assistance to build knowledge of federal funded programs. The expected outcomes include increased awareness, knowledge and understanding of grants among underserved communities, increased access to grant writing and management resources, and an increase to the number and quality of applications for funding related to environmental and energy justice from underserved communities in the Southeast Region. The intended beneficiaries of this grant include underserved communities throughout each of the states in EPA s Region 4: (Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee) and EPA s Region 6: (Arkansas, Louisiana, New Mexico, Oklahoma, Texas 

Subrecipient:
No subawards are included in this assistance agreement.",DEEP SOUTH CENTER FOR ENVIRONMENTAL JUSTICE INC,IRA,Primary,Awarded,13746681,3000000,Texas,31.447203,-99.317116,,,,TX,66.309,Supplemental Funding for Thriving Communities Technical Assistance Centers (TCTACs) to coordinate and collaborate with the EJ Thriving Communities Grantmakers and/or provide technical assistance to applicants and subgrantee recipients of Grantmaker program.,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-technical-assistance-centers,,01-31-2025,141.34496945255,81.5349027688873
